pdv,CouponDiscountAmt,CouponDiscountAmt_LAG_1,CouponDiscountAmt_LAG_2,CouponDiscountAmt_LAG_3,CouponDiscountAmt_LAG_4,CouponDiscountAmt_LAG_5,CouponDiscountAmt^2,CouponDiscountAmt_LAG_1_POLY_2,CouponDiscountAmt_LAG_2_POLY_2,CouponDiscountAmt_LAG_3_POLY_2,CouponDiscountAmt_LAG_4_POLY_2,CouponDiscountAmt_LAG_5_POLY_2
06843,-4.028408044495198e-31,-5.239002220747376e-34,-2.7279834095057704e-33,-2.0291592835459385e-33,9.889872465803661e-34,1.0105334114365825e-33,-3.0652511996278096e-34,-4.046848021752548e-33,8.424790318348538e-34,1.5127400584753879e-33,9.385332166101636e-34,-8.560639052841244e-34
06853,-1.3733463384814853e-28,-2.7494066574862247e-30,-3.0658124069580544e-30,-1.154626970936892e-30,2.0700979869897042e-30,9.86052255709538e-31,-5.737373192101607e-32,-1.7945197828294468e-32,-1.9759197100481475e-33,-2.8715776716856736e-33,1.6898086386557306e-34,4.608170573552934e-34
06861,2.345075173425746e-28,7.352697696240766e-30,-1.5336987689557947e-30,3.338975175104213e-30,-2.2915724133155297e-30,9.885024838857521e-32,-2.0707890767078792e-31,-5.718455381301123e-33,-1.9249205403744376e-33,-1.555559596898587e-33,-4.136088607366828e-34,2.974443460367429e-33
06891,-5.7680056198787186e-30,4.072913098481156e-31,-6.407325234687597e-32,2.417650781388743e-32,-7.615135219263001e-32,7.203081726515231e-32,-2.813987994254589e-32,-5.311618146877737e-33,-4.179952661481361e-34,1.366126180870886e-34,-2.464962535043958e-35,2.412327304827268e-35
06892,1.96724755464148e-19,1.7247536551740898e-07,-7.29097117301878e-07,4.1010005786660734e-22,6.04636300299059e-07,-5.689013890998499e-07,-6.42556899532187e-22,1.6327948291480644e-06,-2.659519828958873e-05,-5.542955060130922e-22,2.6730970280099572e-05,-2.5151129888692714e-05
06932,-7.017941499765898e-33,-1.358474268132809e-33,7.820008785086042e-33,6.927167768373236e-33,-2.581768859467372e-33,-1.8738009082760003e-33,5.068903161561044e-34,-2.8765249237062185e-33,7.027349469314622e-34,-5.225484000852479e-34,-1.8536402198899395e-33,-4.0985874842054246e-35
06957,3.829808573956637e-29,3.5755723155476817e-31,-7.650980708824723e-32,-9.18112619260749e-32,-1.55970312717541e-32,-4.155221041139106e-31,8.478169997134152e-32,2.4412743171234978e-33,-1.4746582351455284e-34,-3.716864525494599e-34,2.9945142656776957e-34,-5.355850116973245e-34
06959,-1.6604073175723227e-29,-2.2295534169160963e-32,-4.166553815148794e-31,2.1050118644320984e-32,3.4531032986200795e-32,1.6135471597390736e-32,-1.4650425624351945e-32,2.804449284738049e-33,4.3786611909280995e-34,3.3816712403684136e-34,-2.7972871958196045e-33,2.4738999491534807e-33
06961,-3.771841359238661e-29,-4.376144406565511e-30,-3.809123128093993e-30,-9.331658222383733e-31,7.522894913894654e-30,-1.2129300079202332e-30,2.0551453914283233e-31,2.7049571460755405e-32,-1.6599550633427912e-33,2.3807526580041545e-33,-5.10828816286415e-35,1.2759165565411118e-33
06962,7.836092755608172e-32,1.4774974495060364e-32,-8.773830698060937e-33,-4.228902635756153e-32,6.420973299672736e-32,-4.1386344218128496e-32,2.0961614309657407e-33,8.838652345112548e-33,-7.4904217718058106e-34,-2.7364744158359914e-34,1.1230681176104943e-33,-8.36672442621728e-34
06971,3.363511579746341e-31,-1.8455863053011703e-33,-1.148948395400101e-33,-6.541915952106505e-34,-2.500591212754891e-33,-2.2999926406866616e-33,-2.342916088223945e-33,-1.0028085756122689e-33,-2.2769900337678696e-34,-9.902248715627543e-35,-3.5843908040844923e-35,2.786984365295018e-35
06979,7.41244856283568e-31,-7.042022496493762e-33,4.9988766608804066e-33,1.6446908906809052e-32,-1.3619316093940033e-32,2.17153825307196e-33,-6.903463296028355e-33,1.1965321140187294e-32,-7.0913117536318225e-34,-1.1767218768317711e-34,4.972183511801582e-36,-7.374149218510666e-34
06980,-2.4141523972569342e-31,-3.0600896093276596e-32,6.555146054508041e-32,1.290711726555881e-31,8.487253830179789e-33,-4.3840017395103276e-32,-3.204728926579399e-32,3.7095709067413924e-32,9.116096545694706e-35,-1.3794714474117773e-34,9.568020863379416e-36,1.28836062057295e-33
07043,-5.874418597313681e-29,-1.658999311099126e-31,-9.90505805251317e-32,9.797885482579792e-32,1.1305036649067654e-31,-2.9621538951297434e-31,2.5342946455323807e-31,9.788552630762714e-33,8.609909601689265e-34,-1.4180738808055699e-33,7.690071005242036e-35,3.675199748033482e-34
07129,-4.557127598943387e-30,5.725682459772707e-32,-9.952023979289319e-32,-6.008542552539126e-32,-6.645849433623713e-32,3.876494584959834e-32,-1.3410990358309027e-32,1.525402444141531e-35,2.555144302372338e-33,-3.5197403134466273e-34,5.777605013807331e-34,6.105486056913492e-34
07151,-7.410936000511795e-29,-6.764074836364897e-32,1.4953294646466924e-31,-5.437664157621514e-32,9.772360355557449e-32,-9.860600878059726e-32,-1.484375550005454e-32,-1.490250377313957e-32,-1.3909591871085106e-32,-4.6195125880730216e-33,-1.9666770078285583e-33,2.028799109158704e-32
07246,1.9972024645842415e-29,1.1283860356859447e-30,4.952238099843874e-31,2.6643334527922703e-31,-6.262743897439178e-31,2.139500686601514e-31,3.101858680608968e-31,-2.639104739861636e-32,4.0769506114754856e-33,-3.4060955273608366e-33,-2.663575751038989e-33,-2.0045174707336365e-34
07404,-3.013237235020792e-29,-4.831440117613151e-31,-2.4481366432230102e-30,2.6888397338636474e-30,1.9377194149771776e-31,7.415434769985812e-31,-2.5667075282507135e-31,-5.016160718835171e-32,1.6918863696410539e-34,-1.2378646580927085e-33,5.0334743600713734e-33,2.4684786181319417e-33
