PC1,PC2,pdv
-0.06575829294985402,-0.24239173530277935,CLI0025339
-0.06737603857631537,-0.22780121521875804,CLI0025346
-0.06410017316982916,-0.23716994547489087,CLI0025347
-0.06657836617755437,-0.2407751996772512,CLI0025350
-0.07138251713687457,-0.2365877115507156,CLI0025352
-0.06615096813593575,-0.24439115358976815,CLI0025367
-0.0709359858030893,-0.2091983786257568,CLI0025369
-0.24184808459228305,7.23356343761796,CLI0025371
-0.06109048764348701,-0.23649301996803782,CLI0025375
-0.052655330589317574,-0.24566983047158925,CLI0025376
-0.06575829294985402,-0.24239173530277935,CLI0025377
-0.06538394483827677,-0.2411533560933503,CLI0025384
-0.06257386994419156,-0.21690398384716236,CLI0025388
-0.06381672294122792,-0.22912979328307462,CLI0025389
-0.06575829294985402,-0.24239173530277935,CLI0025390
-0.06575829294985402,-0.24239173530277935,CLI0025394
-0.06689512900231129,-0.2359658952740782,CLI0025396
-0.06574139510461487,-0.24245658561558833,CLI0025400
-0.06770575181301028,-0.23790509457121928,CLI0025403
-0.06575829294985402,-0.24239173530277935,CLI0025410
-0.060817277822585336,-0.2067928407683203,CLI0025419
-0.06591728355288319,-0.2421487335908102,CLI0025423
-0.06066051007149773,-0.22973770425281198,CLI0025430
-0.06575829294985402,-0.24239173530277935,CLI0025431
-0.06497462760709005,-0.2438696684922119,CLI0025437
-0.017753007930693218,-0.22491092111507704,CLI0025439
-0.06951436095627123,-0.23203708176501364,CLI0025440
-0.05993575823643144,-0.20350298812030507,CLI0025441
-0.06357158344149125,-0.23847794531427421,CLI0025443
-0.06575829294985402,-0.24239173530277935,CLI0025451
-0.0827287177797541,-0.21890189015254127,CLI0025463
-0.3846829390857813,0.08671704786590605,CLI0025465
-0.24931386356739813,3.4528049442402393,CLI0025467
-0.06575829294985402,-0.24239173530277935,CLI0025470
-0.06418605715236315,-0.24148341274849094,CLI0025475
-0.06548835501611754,-0.23431298506451867,CLI0025484
-0.06575829294985402,-0.24239173530277935,CLI0025499
-0.06056697556018769,-0.23573211074811376,CLI0025500
-0.06615665342438656,-0.24024947492118404,CLI0025506
13.257159950174879,16.04692241504063,CLI0025510
-0.06573055929461638,-0.2424782427546322,CLI0025512
-0.06575829294985402,-0.24239173530277935,CLI0025515
-0.06548670584776607,-0.24145888893000336,CLI0025516
-0.065162908524569,-0.24013202774440057,CLI0025519
1.1393605448672506,3.276202811637186,CLI0025520
-0.06700745509370946,-0.23625302486597136,CLI0025522
-0.06539519899491006,-0.23993273207053173,CLI0025525
-0.07368622477220473,-0.23397582154508195,CLI0025528
-0.05626717233546129,-0.23374202644741443,CLI0025538
-0.07620352644737428,-0.2676136018290946,CLI0025541
-0.06575829294985402,-0.24239173530277935,CLI0025542
-0.06575829294985402,-0.24239173530277935,CLI0025559
-0.07317190209721482,-0.2450579990963613,CLI0025569
-0.06944584472656007,-0.2390673489036528,CLI0025582
-0.06329932872481701,-0.2358136906425846,CLI0025589
12.341314189215469,43.15615708800185,CLI0025596
-0.06575829294985402,-0.24239173530277935,CLI0025597
-0.06237282123606228,-0.23790715032465765,CLI0025600
-0.05010870386801212,-0.1993838574312456,CLI0025606
-0.38435417977621195,10.067204613173407,CLI0025607
-0.06594433216690176,-0.24806804624977546,CLI0025608
-0.08130190928289018,-0.23253292118877422,CLI0025614
-0.07007034588544908,-0.2310693248296706,CLI0025617
-0.06587746632414936,-0.24381045778525784,CLI0025618
-0.06566700718567742,-0.24276216876193502,CLI0025623
-0.06537749772035963,-0.24256456237467922,CLI0025624
-0.06565036974145842,-0.24206644480688977,CLI0025627
-9.6938415519016,-2.551416089538705,CLI0025642
-0.06575829294985402,-0.24239173530277935,CLI0025643
-0.06962844082030939,-0.2459312048635206,CLI0025645
-0.056112299459635424,-0.2454344630658256,CLI0025653
-0.06584777475332888,-0.24249360100523068,CLI0025663
-0.06575829294985402,-0.24239173530277935,CLI0025667
-0.06575829294985402,-0.24239173530277935,CLI0025670
-0.06575829294985402,-0.24239173530277935,CLI0025672
4.194756467909672,8.057674408793362,CLI0025674
1.01577547158961,-8.154112148566112,CLI0025675
-0.06524377488544301,-0.2363525428238684,CLI0025681
-0.06575829294985402,-0.24239173530277935,CLI0025684
-0.05972270323379264,-0.24091385452849315,CLI0025687
-0.06443980456164418,-0.2243635331366912,CLI0025693
0.09668257057120605,1.795703243204298,CLI0025705
-0.04824684357603548,-0.22370033236539782,CLI0025718
-0.07863419141631099,-0.2440684114683303,CLI0025719
-0.06940436210334519,-0.21794340230910086,CLI0025726
-0.05671045103289568,-0.20939251919114837,CLI0025730
-0.06296052574940575,-0.2418650189330411,CLI0025731
-0.06575829294985402,-0.24239173530277935,CLI0025746
-0.06598634053807602,-0.24102837631380788,CLI0025759
-0.06380827100108165,-0.2354906838642607,CLI0025763
-0.06575829294985402,-0.24239173530277935,CLI0025773
-0.9530694700744993,3.5959432588756175,CLI0025779
-0.06574908494121896,-0.24235791438301288,CLI0025780
-0.0683895446722042,-0.22465934742459875,CLI0025782
0.8698227285195009,1.8142286150831441,CLI0025785
-0.06575829294985402,-0.24239173530277935,CLI0025787
1.025882452179977,1.2112310164891005,CLI0025801
-0.06588279362247,-0.24239257824665136,CLI0025804
-0.06472282603711016,-0.25072470696490406,CLI0025805
-0.06719557179507046,-0.21378909558196507,CLI0025806
-0.06575829294985402,-0.24239173530277935,CLI0025812
-0.0666689188588537,-0.2428476187852343,CLI0025813
0.08622355701596471,3.719786972540381,CLI0025817
-0.06735950482331575,-0.2442727380102155,CLI0025824
-0.06575829294985402,-0.24239173530277935,CLI0025826
-0.06547457477047551,-0.2424089356466137,CLI0025828
-0.06575829294985402,-0.24239173530277935,CLI0025830
-0.0657589243770759,-0.24239346261153977,CLI0025831
0.04166627037891637,1.715381557470054,CLI0025835
-0.06696126099858184,-0.24015808509892655,CLI0025836
-0.06697301538438187,-0.24134079624099145,CLI0025841
-0.06571196325741818,-0.23640245990720588,CLI0025846
-0.06533572410174963,-0.21332691921842245,CLI0025847
-0.058895686247631675,-0.24649179218880368,CLI0025848
-0.06718323744551973,-0.24313055307863776,CLI0025852
-0.06481031113636497,-0.2392658422139967,CLI0025854
-0.05726094153026816,-0.23579503274664892,CLI0025855
-0.06578591763475782,-0.24295025464359127,CLI0025856
-0.06884334928969116,-0.23951341975964657,CLI0025859
0.41850578646923897,3.5678322698748954,CLI0025860
-0.0656639377168926,-0.2426431419805498,CLI0025866
-0.06575829294985402,-0.24239173530277935,CLI0025871
-0.05449458087154479,-0.05378653632085318,CLI0025894
-0.06517902690570507,-0.2396071452184776,CLI0025936
0.2056180711645127,3.90610456229674,CLI0025945
-0.0663296129083677,-0.2432360016641018,CLI0025959
-1.313444499348344,3.239213490485097,CLI0025966
-0.06676990481596877,-0.24544575771270497,CLI0025969
-0.06575829294985402,-0.24239173530277935,CLI0025977
-0.06575829294985402,-0.24239173530277935,CLI0025982
-0.06552810815079753,-0.23968142979717572,CLI0025988
-0.06575829294985402,-0.24239173530277935,CLI0025991
-0.06543087969703731,-0.24341529590224897,CLI0025994
-0.006247783758964096,-0.14558951811602194,CLI0025996
-0.05766211960655025,-0.22590711142628772,CLI0026000
-0.06575829294985402,-0.24239173530277935,CLI0026005
-0.06102356931501027,-0.22897675896430505,CLI0026013
-0.08098999882296778,-0.2348088313673569,CLI0026015
-0.06575829294985402,-0.24239173530277935,CLI0026018
-0.06340935821022013,-0.2352956254728313,CLI0026023
2.2635010067109897,11.451160588901375,CLI0026026
-0.06606248417472513,-0.23681601283202516,CLI0026028
-0.4638811683589378,4.416706310322598,CLI0026030
-0.0743532963948326,-0.2417837298475544,CLI0026039
-0.07049361284682126,-0.2380555188133316,CLI0026042
-0.06359460912986384,-0.23530610578342176,CLI0026047
-0.06569005084838869,-0.24354086104920494,CLI0026051
-0.06575829294985402,-0.24239173530277935,CLI0026056
-0.06470158266014402,-0.2383768727672864,CLI0026059
-0.06455341922888415,-0.24522321285960796,CLI0026060
-0.06642568287026068,-0.23765592019305037,CLI0026065
-0.06575829294985402,-0.24239173530277935,CLI0026070
-0.0684838159901707,-0.24493339660950608,CLI0026097
-0.06575829294985402,-0.24239173530277935,CLI0026101
-0.06655748688898086,-0.24516369448163014,CLI0026104
-0.0634337135727788,-0.22830207482533518,CLI0026114
-0.06518995753155989,-0.24149171852320703,CLI0026117
-0.06530904879347672,-0.24917894018283168,CLI0026121
-0.06288268930479032,-0.23455405567496215,CLI0026124
-0.06389168186961142,-0.2398951630112243,CLI0026126
